created_at,edit_history_tweet_ids,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-09T20:10:02.000Z,['1777791101157482765'],1777791101157482765,BREAKING: Doug Ford announces that single plot graves will count as single dwelling homes. https://t.co/2Sx68GyBHA,1,0,1,0,0,692
2024-04-09T20:00:33.000Z,['1777788713419825347'],1777788713419825347,"For your next job interview, ask the hiring manager: 'If we were to review my performance six months from the start date, what three specific outcomes would indicate to you that I was the right hire?' This question helps gauge the role's objectives and your potential impact.",4,1,29,0,38,1210
2024-04-09T20:00:22.000Z,['1777788668524011665'],1777788668524011665,RT @aerial_knight: There should be more documentaries about black game developers,27,0,0,0,0,0
2024-04-09T19:30:02.000Z,['1777781032885821653'],1777781032885821653,"Salary Negotiation Principle #1: Keep your salary history and expectations private. It may appear somewhat misleading and can be awkward, however, it's your initial and foremost step to secure a substantial pay increase.",0,1,11,0,3,1282
2024-04-09T19:27:14.000Z,['1777780328767128061'],1777780328767128061,"Dragon Ball Z
Cowboy Bebop
Yu Yu Hakusho
Sailor Moon

Those are the 4 Legendary Gods of Anime that built this shit. 

Everything we enjoy about Anime’s success in the west is due to those 4 GOATs https://t.co/TGeNGg6gzc",4,4,20,2,2,2765
2024-04-09T19:24:16.000Z,['1777779580499017961'],1777779580499017961,"RT @ColinDMello: NEW: At Queen's Park today, Premier Doug Ford was given an unusual gift to symbolize runaway spending in the Premier's Off…",73,0,0,0,0,0
2024-04-09T19:21:57.000Z,['1777778998799487433'],1777778998799487433,"@maxcell I think what stagnates Ichigo is that he doesn’t really have a goal or ambition besides protecting his friends. Luffy and Naruto both have end goals that force them to constantly reevaluate themselves and the world around them. 

Pain’s speech to Naruto on peace and Zoro talking… https://t.co/3UZAeHXOgJ",0,1,1,0,0,20
2024-04-09T19:19:57.000Z,['1777778493905871042'],1777778493905871042,"I’ve done this and I wouldn’t recommend it unless i the job was absolutely destroying your mental health and making you physically sick.

Job hunting unemployed should be avoided if possible. One of the worst periods of my life. https://t.co/fXwhkLHeMi",2,2,18,0,1,1903
2024-04-09T19:17:56.000Z,['1777777987368222823'],1777777987368222823,Hollywood gave us a Moribus and Madame Web movie but the man who made Godfather I &amp; II and Apocalypse Now cant get a studio to buy what he calls his magnum opus…we are in creative hell https://t.co/LFXNK9folE,1,0,4,0,1,1211
2024-04-09T19:16:20.000Z,['1777777584656318534'],1777777584656318534,@ParissAthena Just give me a Black American Harry Potter fam. 😭,0,0,1,0,0,126
2024-04-09T19:15:13.000Z,['1777777305194016789'],1777777305194016789,"RT @TorontoStarLife: TikTok food critic Keith Lee left a $3,000 tip at a GTA food spot. Here's where he's visited so far https://t.co/wujP4…",37,0,0,0,0,0
2024-04-09T19:12:28.000Z,['1777776612039090596'],1777776612039090596,https://t.co/raczPgCZRa https://t.co/Y1DC5ovuPL,0,0,0,0,0,1138
2024-04-09T19:11:22.000Z,['1777776336783757593'],1777776336783757593,Hov screaming UNLEASH THE FLUTES ON THEM GURU only for there not to be a single flute on the whole track is hilarious https://t.co/lfnufNO0hy,1,0,1,0,0,1301
2024-04-09T19:09:22.000Z,['1777775831475016152'],1777775831475016152,Ill drop something for you in the week and tag you https://t.co/DzsSX2wSiX,0,1,1,0,1,1178
2024-04-09T18:56:18.000Z,['1777772543602020620'],1777772543602020620,"Remember, transitioning careers is a journey. It requires time, continuous learning, and networking. But with your nursing skills and the growing intersection of healthcare and tech, you're well-prepared to embark on this exciting career change. Best of luck!",0,0,1,0,0,550
2024-04-09T18:56:17.000Z,['1777772540749807829'],1777772540749807829,"As for companies to consider when making this transition, here are ten options: Cerner, Epic Systems, Medtronic, Philips Healthcare, GE Healthcare, Allscripts, McKesson, Siemens Healthineers, Athenahealth, and Baxter International.",0,1,0,0,1,559
2024-04-09T18:56:17.000Z,['1777772537839071484'],1777772537839071484,"Projects: Propose improvements to the patient experience in your current job, volunteer to help a telehealth platform optimize their patient experience, take a course on UX or customer experience.",0,1,0,0,0,78
